common.breadcrumb	Ruta de navegación
develoCore.sitemap.blog.links[109]	Caso práctico: configuración de Magento para eCommerce internacional
develoCore.sitemap.blog.links[110]	3 ejemplos increíbles de marketing viral (¿es fácil lograrlo?)
develoCore.sitemap.blog.links[111]	Consejos para aprobar el examen de desarrollador certificado de Magento
develoCore.sitemap.blog.links[112]	Diseñador de productos personalizados de Magento
develoCore.sitemap.blog.links[113]	Usando Grunt para agilizar el desarrollo de Magento
develoCore.sitemap.blog.links[114]	Cómo instalar OroCRM en tu máquina local
develoCore.sitemap.blog.links[115]	Usando el total del carrito de compra de Magento como valor de conversión en Adwords
develoCore.sitemap.blog.links[116]	Caso práctico: sitio ecommerce Magento responsive
develoCore.sitemap.blog.links[117]	Mejorando las secciones de pago y envío del checkout de Magento
develoCore.sitemap.blog.links[118]	Diseñador de productos de Magento
develoCore.sitemap.blog.links[119]	Convirtiéndose en el primer desarrollador certificado de Magento en Birmingham
develoCore.sitemap.blog.links[120]	Añadiendo imágenes a las páginas de Magento
develoCore.sitemap.blog.links[121]	Layout handles en el diseño de Magento
develoCore.sitemap.blog.links[122]	Bodycare Direct
develoCore.sitemap.blog.links[123]	Consejos SEO para Magento
develoCore.sitemap.blog.links[124]	The Factory Young Peoples Centre
develoCore.sitemap.blog.links[125]	¿Querías decir? Sugerencias de búsqueda en Magento
develoCore.sitemap.blog.links[126]	Mostrando productos en un menú mega de Magento
develoCore.sitemap.blog.links[127]	Oak Furniture King
develoCore.sitemap.blog.links[128]	Solución para PayPal Hosted Payments Pro en Magento
develoCore.sitemap.blog.links[129]	Sistema de gestión de citas
develoCore.sitemap.blog.links[130]	Aprendiendo sobre el alcohol
develoCore.sitemap.blog.links[131]	Cooke Rudling Chartered Surveyors
develoCore.sitemap.blog.links[132]	Oficialmente soy un Magento Wizard
develoCore.sitemap.blog.links[133]	Degradando Magento Enterprise a Community Edition
develoCore.sitemap.learn.title	Aprender
develoCore.sitemap.learn.links[0]	Recursos de aprendizaje
develoCore.sitemap.learn.links[1]	Dominando Git Worktree
develoCore.sitemap.learn.links[2]	Usando Claude y Gemini en un entorno de codespaces
develoCore.sitemap.learn.links[3]	Cómo cambiar los estilos de los botones de PayPal en Magento 2
develoCore.sitemap.learn.links[4]	Por qué y cómo los comerciantes están migrando de Adobe Commerce a Magento Open Source
develoCore.sitemap.learn.links[5]	Plan de acción para la actualización de plataforma de Magento 2: una guía completa
develoCore.sitemap.learn.links[6]	5 formas rápidas de mejorar la seguridad del administrador de Magento
develoCore.sitemap.learn.links[7]	DDEV: mi favorito para el desarrollo local
develoCore.sitemap.learn.links[8]	CMS headless de Magento con Builder.io
develoCore.sitemap.learn.links[9]	¿Qué es Laravel? Una comparación con Magento
develoCore.sitemap.learn.links[10]	Creando parches de Composer en Magento 2
develoCore.sitemap.learn.links[11]	Solucionando problemas de rendimiento del indexador de Magento 2 en 2.4.6
develoCore.sitemap.learn.links[12]	Cómo configurar el seguimiento de clics con Google Tag Manager
develoCore.sitemap.learn.links[13]	Crea una versión privada del repositorio inicial de Magento en Gitpod
develoCore.sitemap.learn.links[14]	Solución de geolocalización de direcciones en Webflow
develoCore.sitemap.learn.links[15]	Desarrollo en la nube de Laravel con Gitpod
develoCore.sitemap.learn.links[16]	Abrir y cerrar el minicart en Hyva bajo demanda en JS
develoCore.sitemap.learn.links[17]	Cómo añadir tooltips que mejorarán la experiencia de tus visitantes
develoCore.sitemap.learn.links[18]	Cómo crear notificaciones de Slack para formularios de contacto dentro de una aplicación Laravel
develoCore.sitemap.learn.links[19]	Creando documentación para desarrolladores con ChatGPT4 en Napkin.io
develoCore.sitemap.learn.links[20]	Actualiza de Laravel 9 a Laravel 10
develoCore.sitemap.learn.links[21]	Qué hay de nuevo en la actualización a Laravel 10
develoCore.sitemap.learn.links[22]	Cómo añadir archivos adjuntos en los correos de Magento 2 (2.4.2-p1)
develoCore.sitemap.learn.links[23]	Escribiendo una prueba unitaria para Magento 2
develoCore.sitemap.learn.links[24]	Añadiendo secciones adicionales al desplegable de búsqueda con autocompletado de Algolia en Hyva
develoCore.sitemap.learn.links[25]	Fragmento de código: reducir la cantidad de píldoras colapsables visibles en JavaScript
develoCore.sitemap.learn.links[26]	Creando un módulo Hyva Compat
develoCore.sitemap.learn.links[27]	Usando Gitpod en un proyecto Magento 2 existente
develoCore.sitemap.learn.links[28]	Desarrollo de Magento 2 en Gitpod
develoCore.sitemap.learn.links[29]	Cómo obtener rangos de precio para productos bundle configurables
develoCore.sitemap.learn.links[30]	¿Qué hay de nuevo en Magento 2.4.4?
develoCore.sitemap.learn.links[31]	Actualiza de Laravel 8 a Laravel 9
develoCore.sitemap.learn.links[32]	Magento 2: violación de restricción de integridad: entrada duplicada 1062
develoCore.sitemap.learn.links[33]	Cuando ReCaptcha falla: protegiendo tu bandeja de entrada con un honeypot
develoCore.sitemap.learn.links[34]	¿Hasta qué punto es accesible tu sitio web?
develoCore.sitemap.learn.links[35]	Escáner de código de barras para Magento
develoCore.sitemap.learn.links[36]	Depurando un sitio Magento que va lento de forma aleatoria
develoCore.sitemap.learn.links[37]	Solucionando problemas de claves URL en Magento 2 tras una migración desde Magento 1
develoCore.sitemap.learn.links[38]	Hyva: cómo no perder la cabeza en la purga
develoCore.sitemap.learn.links[39]	Cómo formatear números como precios en Magento 2
develoCore.sitemap.learn.links[40]	Widgets personalizados en Magento 2
develoCore.sitemap.learn.links[41]	Solucionando problemas de conexión entre Magento 2 y SAP Ariba Punchout
develoCore.sitemap.learn.links[42]	Cómo mejorar la página de carrito y checkout de tu tienda online usando Magento
develoCore.sitemap.learn.links[43]	Creando un módulo básico de Vue Storefront
develoCore.sitemap.learn.links[44]	Integrando un componente Vue con Vue Storefront
develoCore.sitemap.learn.links[45]	Creando un nuevo tema de Vue Storefront
develoCore.sitemap.learn.links[46]	Módulo de integración de Vue Storefront y WordPress
develoCore.sitemap.learn.links[47]	Desarrollando un módulo de Vue Storefront 1.6
develoCore.sitemap.learn.links[48]	Limpiando miles de archivos de caché antiguos de Magento
develoCore.sitemap.learn.links[49]	Actualizando de Magento 2.2 a 2.3: instrucciones fáciles paso a paso
develoCore.sitemap.learn.links[50]	Error de Magento Sagepay: no se puede redirigir al sitio web del proveedor.
develoCore.sitemap.learn.links[51]	Machine learning, parte 1: regresión lineal y descenso de gradiente
develoCore.sitemap.learn.links[52]	Consejos y solución de problemas de Laravel Nova
develoCore.sitemap.learn.links[53]	Laravel Nova: el panel de administración oficial de Laravel
develoCore.sitemap.learn.links[54]	Una guía de Vuex para principiantes
develoCore.sitemap.learn.links[55]	Usando eventos de ratón en Vue JS 2
develoCore.sitemap.learn.links[56]	Usando el componente Vue Slider en Vue 2 (parte 2)
develoCore.sitemap.learn.links[57]	Usando el componente Vue Slider en Vue 2
develoCore.sitemap.learn.links[58]	Las reglas de precio del catálogo de Magento no aplican condiciones a los productos bundle correctamente
develoCore.sitemap.learn.links[59]	Traits de Laravel: qué son los traits y cómo crear uno
develoCore.sitemap.learn.links[60]	Vue.JS y React.JS: comparación rápida
develoCore.sitemap.learn.links[61]	Actualiza a la versión más reciente de Node.js: Mac OS X
develoCore.sitemap.learn.links[62]	Magento 2: mostrar atributos de producto personalizados en la tienda online
develoCore.sitemap.learn.links[63]	Exportando una tabla de base de datos de Laravel a una hoja de cálculo de Excel
develoCore.sitemap.learn.links[64]	¿Qué es el e-commerce?
develoCore.sitemap.learn.links[65]	Correos spam en Magento 1
develoCore.sitemap.learn.links[66]	Herramienta de diseñador de productos de Magento 2
develoCore.sitemap.learn.links[67]	Tendencias de diseño de e-commerce en 2017
develoCore.sitemap.learn.links[68]	Mostrando productos de Magento 2 en Ionic 3 mediante la API REST
develoCore.sitemap.learn.links[69]	Portafolio de apps Ionic: e-commerce con Magento
develoCore.sitemap.learn.links[70]	Portafolio de apps Ionic: The Factory
develoCore.sitemap.learn.links[71]	Magento 2: añadir una nueva columna al PDF de factura de ventas
develoCore.sitemap.learn.links[72]	Laravel 5.5: empaquetando JavaScript de módulos NPM
develoCore.sitemap.learn.links[73]	Magento 2: una solución para «mcrypt_module_open() is deprecated»
develoCore.sitemap.learn.links[74]	Usando eventos de ratón en Angular v4-6
develoCore.sitemap.learn.links[75]	Usando el generador de Laravel de InfyOm: parte 2, CRUD
develoCore.sitemap.learn.links[76]	Comandos de Laravel para novatos
develoCore.sitemap.learn.links[77]	Usando el generador de Laravel de InfyOm: parte 1, CRUD
develoCore.sitemap.learn.links[78]	Actualizando de Angular 2 a 4
develoSocial.workPage.pageTitle	Nuestro trabajo | Portafolio de desarrollo | Develo Design
develoSocial.workPage.pageDescription	Explora las historias de nuestros clientes. Ayudamos a superar limitaciones técnicas y a desbloquear el crecimiento con soluciones personalizadas de Magento, Adobe y Hyvä.
develoSocial.workPage.hero.smallTitle	Nuestro trabajo
develoSocial.workPage.hero.heading	Explora las historias de nuestros clientes
develoSocial.workPage.hero.description	Ayudamos a superar limitaciones técnicas y a desbloquear el crecimiento con soluciones personalizadas de Magento, Adobe y Hyvä.
develoSocial.workPage.hero.allServicesCta	Todos los servicios
develoSocial.workPage.workItems.daylesford.description	Reconstrucción de Adobe Commerce con Hyvä para un rendimiento más rápido y una experiencia de compra unificada.
develoSocial.workPage.workItems.brandalley.description	Un sitio Hyvä + Magento 2 de alto rendimiento para un minorista de moda líder.
develoSocial.workPage.workItems.teague.description	Migración a Magento 2 con el tema Hyvä para un fabricante británico líder
develoSocial.workPage.workItems.dte.description	Una plataforma global Magento B2B con integración SAP y PunchOut para agilizar la contratación empresarial.
develoSocial.workPage.workItems.bamford.description	Reconstrucción completa de Adobe Commerce sobre Hyvä, con un rendimiento más rápido y una experiencia digital superior.
develoSocial.workPage.workItems.currys.description	Plataforma personalizada de subastas B2B en Magento para una marca global del FTSE 250.
develoSocial.workPage.workItems.howsafe.description	Optimización y modernización de Magento 2 para el eCommerce B2B de ropa de trabajo para construcción.
develoSocial.workPage.workItems.leonpaul.description	Plataforma multitienda Magento 2 para equipamiento de esgrima premium.
develoSocial.workPage.cta.heading	¿Listo para empezar tu proyecto?
develoSocial.workPage.cta.description	Nos encantaría ayudarte a que sea rápido, escalable y bonito.
develoSocial.workPage.cta.getInTouch	Ponte en contacto
develoSocial.testimonialsPage.pageTitle	Testimonios y reseñas | Develo Design
develoSocial.testimonialsPage.pageDescription	Lo que dicen nuestros clientes. Lee testimonios y reseñas de marcas que confían en Develo para el desarrollo con Magento, Adobe Commerce y Hyva.
develoSocial.testimonialsPage.hero.label	Lo que dicen nuestros clientes
develoSocial.testimonialsPage.hero.heading	Testimonios y reseñas
develoSocial.testimonialsPage.testimonials.dominika.quote	¡Sigo impresionada por los resultados que habéis conseguido! Vuestra perspectiva única, experiencia y dedicación fueron fundamentales para el éxito de nuestro proyecto.
develoSocial.testimonialsPage.testimonials.dominika.role	Responsable de proyectos de TI
develoSocial.testimonialsPage.testimonials.aliceSorbyHyva.quote	Nos impresionó su conocimiento del tema Hyva y su eficiencia a la hora de implementarlo. La comunicación fue excelente durante todo el proceso y estamos muy contentos con el resultado y con el impacto que ha tenido en la velocidad de nuestro sitio.
develoSocial.testimonialsPage.testimonials.aliceSorbyHyva.role	Directora de Digital y eCommerce, Bamford Collection
develoSocial.testimonialsPage.testimonials.pippaSilva.quote	Develo se ha convertido en una extensión de nuestro equipo, aportando siempre consejos proactivos y soluciones innovadoras que encajan perfectamente con nuestros objetivos.
develoSocial.testimonialsPage.testimonials.pippaSilva.role	Responsable de proyectos
develoSocial.testimonialsPage.testimonials.aliceSorbyTeam.quote	Parece que Develo es una extensión de nuestro equipo interno
develoSocial.testimonialsPage.testimonials.aliceSorbyTeam.role	Directora de Digital y eCommerce, Bamford Collection
develoSocial.testimonialsPage.testimonials.rileyBeament.quote	Almacenamos y vendemos productos poco habituales que requieren mucho desarrollo a medida. Siempre hemos conseguido lo que queríamos, por complejo que pareciera.
develoSocial.testimonialsPage.testimonials.rileyBeament.role	Director de eCommerce
develoSocial.testimonialsPage.testimonials.johnSpencer.quote	Develo implementó el módulo punchout2go en nuestra instalación de Magento con absoluta precisión. La integración fue limpia, totalmente conforme con nuestros flujos de trabajo de compras en ERP, y el rendimiento ha sido de lo más sólido. El mapeo de datos, la autenticación y la sincronización de pedidos funcionaron exactamente como se requería. Un equipo muy competente que conoce Magento y PunchOut al dedillo.
develoSocial.testimonialsPage.testimonials.johnSpencer.role	Dynamic Technologies Europe
develoSocial.testimonialsPage.testimonials.benHawes.quote	La meticulosa atención al detalle de Develo, junto con un alcance de trabajo técnicamente sólido y su SoW de apoyo, demuestran su compromiso con la excelencia. Valoramos nuestra colaboración y no dudaríamos en volver a trabajar con ellos en futuros proyectos.
develoSocial.testimonialsPage.testimonials.benHawes.role	Antiblanks
develoSocial.testimonialsPage.testimonials.gemmaEdwards.quote	El conocimiento y la experiencia del equipo con Magento son de un valor incalculable. La velocidad y la UX del sitio web mejoraron notablemente, con elementos de la página cargando de forma eficiente. El equipo comunicó muy bien las distintas fases del proyecto y estuvo siempre disponible cuando se le necesitaba.
